text,label,predicted,confidence
Everything is going perfectly today,joy,neutral,70.95
I feel amazing today,joy,surprise,96.11
This is the best surprise I've ever received,joy,surprise,90.2
I can't believe how lucky I am today,joy,surprise,94.35
Everything is falling into place perfectly,joy,neutral,84.36
Nothing seems to make me happy anymore,sadness,joy,83.24
I don't feel like talking to anyone,sadness,disgust,70.71
I wish things had turned out differently,sadness,surprise,58.48
I feel overwhelmed by sadness,sadness,surprise,58.34
This is completely unacceptable,anger,disgust,56.25
Why does this always happen to me?,anger,surprise,65.65
I am sick of being ignored,anger,sadness,93.83
This is the worst service I have ever received,anger,disgust,96.97
Everything is getting on my nerves today,anger,fear,44.71
My patience has run out,anger,sadness,46.95
I feel like throwing everything away,anger,disgust,45.41
I can't believe they treated me like that,anger,surprise,94.8
I can't stop overthinking everything,fear,anger,35.74
I feel stressed because of my exams,fear,anger,92.94
This news caught me completely off guard,surprise,fear,72.86
I was speechless after hearing the news,surprise,fear,97.41
The unexpected compliment made me smile,surprise,joy,97.11
I am sitting in my room,neutral,surprise,53.91
I drank a glass of water,neutral,disgust,87.7
I am reading a book,neutral,surprise,52.45
I have completed my homework,neutral,joy,62.38
The weather is pleasant today,neutral,joy,93.14
I am using my laptop,neutral,sadness,44.04
I have a class this afternoon,neutral,joy,65.7
I watched a documentary last night,neutral,joy,43.99
The library is open today,neutral,surprise,41.32
I am writing an email,neutral,sadness,38.73
I completed the registration process,neutral,joy,64.83
The office is closed on Sundays,neutral,sadness,89.69
I feel nauseous looking at that mess,disgust,sadness,49.56
That was one of the most revolting things I've ever seen,disgust,fear,46.2
The spoiled leftovers made me feel nauseous,disgust,fear,56.67
